n_sub,rep_i,rep_j,n_shared,ari_k24
40,18,35,20,0.6545454545454545
40,18,36,20,0.5635528330781011
40,18,37,20,0.9446064139941691
40,18,48,21,1.0
40,19,20,23,0.848955223880597
40,19,23,20,0.7611064543168483
40,19,28,20,0.8947173993350572
40,19,29,20,0.8221806270472625
40,19,32,21,0.8864864864864865
40,20,25,20,0.6535375638220278
40,20,29,22,0.6577777777777778
40,20,48,20,0.957187922487607
40,21,25,21,0.4092827004219409
40,21,28,20,1.0
40,21,36,21,0.5643153526970954
40,21,40,20,0.4794520547945205
40,21,43,20,0.489247311827957
40,21,47,20,0.5581395348837209
40,22,29,20,0.445371142618849
40,22,31,20,0.8280542986425339
40,22,45,20,0.5320197044334976
40,22,46,21,0.6501665873393622
40,22,48,20,0.8862275449101796
40,23,36,20,0.661319073083779
40,23,38,20,0.7974413646055437
40,24,35,22,0.7232796486090776
40,24,37,22,0.8955223880597015
40,24,39,20,0.5329400196656834
40,24,44,20,0.7042801556420234
40,24,47,22,0.6115470852017937
40,25,29,20,0.8155339805825242
40,25,36,20,0.3837837837837838
40,25,40,21,0.7904191616766467
40,25,43,20,0.8280542986425339
40,26,27,20,0.5891891891891892
40,26,36,21,0.7204968944099379
40,26,39,20,0.7449664429530202
40,27,43,20,0.7192118226600985
40,27,44,20,0.7945945945945946
40,28,29,22,0.4460431654676259
40,28,31,21,0.6548323471400395
40,28,33,20,0.8152948801036941
40,28,34,21,0.9421487603305785
40,28,39,20,0.7611064543168483
40,28,41,21,0.8522167487684729
40,29,31,20,0.5891891891891892
40,29,39,21,0.7046413502109705
40,29,45,20,0.7615062761506276
40,29,49,20,0.5909580193756727
40,30,31,22,0.837037037037037
40,30,37,20,1.0
40,31,45,22,0.7372013651877133
40,31,47,22,0.611764705882353
40,32,35,22,0.8705156950672646
40,32,44,21,0.7451456310679612
40,33,38,20,0.8545176110260337
40,33,41,23,0.5919354838709677
40,34,37,20,0.8572287345957319
40,34,39,20,0.8613138686131386
40,34,40,21,0.7901049475262368
40,35,40,21,0.6534653465346535
40,36,40,20,0.34611602753195675
40,36,43,20,1.0
40,38,40,20,0.6018440905280805
40,38,48,20,0.3238434163701068
40,38,49,20,0.3238434163701068
40,39,41,20,0.445371142618849
40,46,47,21,0.7400990099009901
60,0,1,35,0.6157094594594594
60,0,2,40,0.700560822539725
60,0,3,42,0.6724782856780575
60,0,4,39,0.9025897199947417
60,0,5,39,0.640203932993445
60,0,6,39,0.7343566679702777
60,0,7,39,0.826191292423723
60,0,8,39,0.800867628992629
60,0,9,37,0.6626008339503526
60,0,10,40,0.7269511386248065
60,0,11,37,0.7131782945736435
60,0,12,37,0.6266595857673924
60,0,13,40,0.6053829808762522
60,0,14,37,0.7207693517111262
60,0,15,37,0.6831326796574407
60,0,16,37,0.9135064935064935
60,0,17,34,0.7073552425665102
60,0,18,42,0.5497777648665136
60,0,19,41,0.8173958606235263
60,0,20,36,0.6999740237249978
60,0,21,38,0.7527912087912088
60,0,22,37,0.5686721157711376
60,0,23,40,0.7251818028073735
60,0,24,40,0.6152060359837492
60,0,25,38,0.7837398373983739
60,0,26,37,0.8407370938247292
60,0,27,39,0.5719578511244348
60,0,28,37,0.5693255734337556
60,0,29,38,0.7175305490557564
60,0,30,42,0.95687107406554
60,0,31,37,0.7827221714733134
60,0,32,36,0.7954894925679139
60,0,33,40,0.7169064273459153
60,0,34,37,0.6110822735530755
60,0,35,35,0.6627196573660011
60,0,36,39,0.856619781201161
60,0,37,39,0.7176029962546816
60,0,38,38,0.8933255294704212
60,0,39,35,0.714098087580485
60,0,40,36,0.8232323232323232
60,0,41,38,0.7072784810126582
60,0,42,32,0.7476469091834139
60,0,43,36,0.680365296803653
60,0,44,38,0.7349570200573066
60,0,45,37,0.778382793356929
60,0,46,36,0.7334574378067354
60,0,47,38,0.8763793027651998
60,0,48,43,0.9721390885810373
60,0,49,38,0.7063835474547672
60,1,2,43,0.5211491671345686
60,1,3,39,0.6030332699092975
60,1,4,41,0.6662805622515106
60,1,5,38,0.6092607636068237
60,1,6,37,0.46983902352733065
60,1,7,41,0.6703258285554468
60,1,8,36,0.4836488812392427
60,1,9,38,0.6868751855884391
60,1,10,42,0.6333495559070447
60,1,11,40,0.6924775272039111
60,1,12,41,0.6039603960396039
60,1,13,33,0.4987714987714988
60,1,14,36,0.7245700961818712
60,1,15,40,0.6952373118368018
60,1,16,37,0.4638147874145959
60,1,17,37,0.6958904109589041
60,1,18,40,0.7670337875676685
60,1,19,38,0.5798841167147348
60,1,20,31,0.7088571015749169
60,1,21,39,0.5248984825817482
60,1,22,44,0.5227824284896245
60,1,23,36,0.6374418255517189
60,1,24,39,0.5655657611881962
60,1,25,37,0.5848139143444923
60,1,26,44,0.56144061657926
60,1,27,35,0.46797095747344325
