trait,model,boot_i,boot_j,spearman_full,jaccard_top_k
Insoluble_Oxalate,RandomForest,10,23,0.2592096273747883,0.0
Insoluble_Oxalate,RandomForest,10,24,0.24916684308184497,0.0
Insoluble_Oxalate,RandomForest,10,25,0.24869465259260398,0.0
Insoluble_Oxalate,RandomForest,10,26,0.2371864020951691,0.0
Insoluble_Oxalate,RandomForest,10,27,0.11850512815851916,0.0
Insoluble_Oxalate,RandomForest,10,28,0.26196344919872083,0.0
Insoluble_Oxalate,RandomForest,10,29,0.29949831997751575,0.1111111111111111
Insoluble_Oxalate,RandomForest,11,12,0.28002483049461036,0.0
Insoluble_Oxalate,RandomForest,11,13,0.2619822307734256,0.0
Insoluble_Oxalate,RandomForest,11,14,0.36233827808531965,0.0
Insoluble_Oxalate,RandomForest,11,15,0.2554944579532949,0.0
Insoluble_Oxalate,RandomForest,11,16,0.22319833773555617,0.0
Insoluble_Oxalate,RandomForest,11,17,0.2709376888539632,0.0
Insoluble_Oxalate,RandomForest,11,18,0.2173016923272681,0.0
Insoluble_Oxalate,RandomForest,11,19,0.3287229507990419,0.0
Insoluble_Oxalate,RandomForest,11,20,0.2934543918989777,0.0
Insoluble_Oxalate,RandomForest,11,21,0.3095024308939565,0.0
Insoluble_Oxalate,RandomForest,11,22,0.19893706802168434,0.0
Insoluble_Oxalate,RandomForest,11,23,0.27821172058632293,0.0
Insoluble_Oxalate,RandomForest,11,24,0.2454525853329772,0.0
Insoluble_Oxalate,RandomForest,11,25,0.2990060978593871,0.0
Insoluble_Oxalate,RandomForest,11,26,0.22280963240856358,0.0
Insoluble_Oxalate,RandomForest,11,27,0.261099603030892,0.0
Insoluble_Oxalate,RandomForest,11,28,0.2466752613717876,0.0
Insoluble_Oxalate,RandomForest,11,29,0.27810899241997344,0.0
Insoluble_Oxalate,RandomForest,12,13,0.378582259577806,0.1111111111111111
Insoluble_Oxalate,RandomForest,12,14,0.27186199345888873,0.0
Insoluble_Oxalate,RandomForest,12,15,0.32004818721169404,0.0
Insoluble_Oxalate,RandomForest,12,16,0.2818881746831867,0.0
Insoluble_Oxalate,RandomForest,12,17,0.33150382636831294,0.0
Insoluble_Oxalate,RandomForest,12,18,0.3240268915459143,0.0
Insoluble_Oxalate,RandomForest,12,19,0.24010066711504552,0.0
Insoluble_Oxalate,RandomForest,12,20,0.32497328323794794,0.0
Insoluble_Oxalate,RandomForest,12,21,0.3387499094619593,0.0
Insoluble_Oxalate,RandomForest,12,22,0.3140438525719096,0.0
Insoluble_Oxalate,RandomForest,12,23,0.27579939566731776,0.0
Insoluble_Oxalate,RandomForest,12,24,0.33177571455138566,0.0
Insoluble_Oxalate,RandomForest,12,25,0.239304083370504,0.0
Insoluble_Oxalate,RandomForest,12,26,0.37928967838371064,0.1111111111111111
Insoluble_Oxalate,RandomForest,12,27,0.24715073779763938,0.0
Insoluble_Oxalate,RandomForest,12,28,0.33150029713256585,0.0
Insoluble_Oxalate,RandomForest,12,29,0.23991186139220239,0.0
Insoluble_Oxalate,RandomForest,13,14,0.27859226280781185,0.0
Insoluble_Oxalate,RandomForest,13,15,0.3077494578204592,0.0
Insoluble_Oxalate,RandomForest,13,16,0.27437883912753486,0.0
Insoluble_Oxalate,RandomForest,13,17,0.33876165493750426,0.0
Insoluble_Oxalate,RandomForest,13,18,0.33539943705613634,0.0
Insoluble_Oxalate,RandomForest,13,19,0.2547178191448455,0.0
Insoluble_Oxalate,RandomForest,13,20,0.2660624635575647,0.0
Insoluble_Oxalate,RandomForest,13,21,0.2742208512952882,0.0
Insoluble_Oxalate,RandomForest,13,22,0.3304327089121592,0.25
Insoluble_Oxalate,RandomForest,13,23,0.3037303210849463,0.0
Insoluble_Oxalate,RandomForest,13,24,0.34673652241637987,0.25
Insoluble_Oxalate,RandomForest,13,25,0.3013991574019567,0.1111111111111111
Insoluble_Oxalate,RandomForest,13,26,0.29744743130644646,0.0
Insoluble_Oxalate,RandomForest,13,27,0.29260314415194166,0.0
Insoluble_Oxalate,RandomForest,13,28,0.30264243836072313,0.0
Insoluble_Oxalate,RandomForest,13,29,0.2087299589327837,0.0
Insoluble_Oxalate,RandomForest,14,15,0.3355207762081409,0.0
Insoluble_Oxalate,RandomForest,14,16,0.2444698581733828,0.0
